var_code,var,year,sa4_code_2016,sa4_name_2016,base,zero,state2023,diff
71 SouthEastSE,South Australia - South East,2030,407,South Australia - South East,95.4525,102.5384,83.3165,19.22189999999999
72 Bunbury4WA,Bunbury,2030,501,Bunbury,109.4346,103.7024,97.3042,6.398200000000003
73 MandurahWA,Mandurah,2030,502,Mandurah,59.2759,57.7467,51.2201,6.526599999999995
74 PerthInrWA,Perth - Inner,2030,503,Perth - Inner,113.3724,112.1171,102.488,9.629099999999994
75 PerthNEWA,Perth - North East,2030,504,Perth - North East,155.391,153.81,139.2356,14.574399999999997
76 PerthNWWA,Perth - North West,2030,505,Perth - North West,310.6486,307.7671,277.8562,29.910900000000026
77 PerthSEWA,Perth - South East,2030,506,Perth - South East,311.2448,308.2851,278.5102,29.774900000000002
78 PerthSWWA,Perth - South West,2030,507,Perth - South West,271.1779,267.0177,243.8989,23.118799999999993
79 WheatBeltWA,Western Australia - Wheat belt,2030,509,Western Australia - Wheat Belt,75.3728,78.6555,67.8782,10.777299999999997
80 OutbackNthWA,Western Australia - Outback (North),2030,510,Western Australia - Outback (North),100.8841,98.2911,90.5519,7.739199999999997
81 OutbackSthWA,Western Australia - Outback (South),2030,511,Western Australia - Outback (South),97.1,98.2978,86.3954,11.9024
82 HobartTas,Hobart,2030,601,Hobart,106.1461,107.079,97.5998,9.479199999999992
83 LncstnNETas,Launceston and North East,2030,602,Launceston and North East,73.2707,74.3193,65.9522,8.367099999999994
84 SouthEastTas,South East,2030,603,South East,25.7703,26.5977,22.4175,4.180199999999999
85 WstNWTas,West and North West,2030,604,West and North West,68.7245,69.98,61.8781,8.1019
86 DarwinNT,Darwin,2030,701,Darwin,143.5966,143.8646,139.9818,3.882800000000003
87 OutbackNT,Northern Territory - Outback,2030,702,Northern Territory - Outback,42.6013,42.7597,41.277,1.4827000000000012
88 ACT,ACT,2030,801,Australian Capital Territory,271.8957,272.3914,257.7195,14.671899999999994
